epoch,accuracy,loss,val_accuracy,val_loss
0,0.45834487676620483,1.2208186388015747,0.5446686148643494,1.1796715259552002
1,0.6465541124343872,0.8651449084281921,0.5389049053192139,1.113786220550537
2,0.7218378186225891,0.7008345127105713,0.579250693321228,1.1449655294418335
3,0.7907556295394897,0.5486451983451843,0.5821325778961182,1.1883161067962646
4,0.8303349018096924,0.4589219391345978,0.530259370803833,1.4775067567825317
5,0.8524771928787231,0.40391045808792114,0.5706051588058472,1.4178025722503662
6,0.8901190161705017,0.3037894368171692,0.5706051588058472,1.5925036668777466
7,0.9086631536483765,0.2652907073497772,0.5706051588058472,1.5143377780914307
8,0.9197342991828918,0.22521616518497467,0.5734870433807373,1.6422581672668457
9,0.9363409876823425,0.17819760739803314,0.5850144028663635,1.72327721118927
10,0.9454746842384338,0.1577548086643219,0.579250693321228,1.800177812576294
11,0.9510102272033691,0.15128284692764282,0.5533141493797302,1.9840654134750366
12,0.9496263265609741,0.15034529566764832,0.5504322648048401,1.9189313650131226
13,0.9537780284881592,0.14138346910476685,0.530259370803833,2.0641541481018066
14,0.9548851251602173,0.12994685769081116,0.5821325778961182,2.049999713897705
15,0.9626349210739136,0.11165948212146759,0.5648415088653564,2.2834150791168213
16,0.9723221659660339,0.08835974335670471,0.5706051588058472,2.0783112049102783
17,0.9703847169876099,0.08475698530673981,0.5561959743499756,2.277968168258667
18,0.9623581767082214,0.09862013906240463,0.559077799320221,2.3110363483428955
19,0.9695543646812439,0.08754874765872955,0.5677233338356018,2.2450966835021973
20,0.9648491740226746,0.09656116366386414,0.5561959743499756,2.49666690826416
21,0.9678937196731567,0.09515801817178726,0.5504322648048401,2.448451280593872
22,0.9684472680091858,0.09405484050512314,0.5475504398345947,2.360400676727295
23,0.9701079726219177,0.08924642950296402,0.5533141493797302,2.60915207862854
24,0.9706615209579468,0.0818057432770729,0.5561959743499756,2.5891828536987305
