epoch,accuracy,loss,val_accuracy,val_loss
0,0.37226682901382446,1.3256514072418213,0.455331414937973,1.2843284606933594
1,0.6448934674263,0.983665943145752,0.6455331444740295,0.9583657383918762
2,0.7910323739051819,0.5915982723236084,0.6916426420211792,0.8133835196495056
3,0.8474951386451721,0.4173966646194458,0.6974063515663147,0.7940501570701599
4,0.8771104216575623,0.3297118544578552,0.6887608170509338,0.8310258388519287
5,0.9111541509628296,0.2669808864593506,0.6858789920806885,0.8736242651939392
6,0.9308054447174072,0.21620240807533264,0.6887608170509338,0.9277904629707336
7,0.9421533346176147,0.18529576063156128,0.6829971075057983,0.9472989439964294
8,0.9532244801521301,0.15812402963638306,0.6829971075057983,1.022581696510315
9,0.9606974720954895,0.13298137485980988,0.680115282535553,1.0507347583770752
10,0.9629117250442505,0.11990072578191757,0.6657060384750366,1.1097807884216309
11,0.9673401713371277,0.1131763681769371,0.6714697480201721,1.1310772895812988
12,0.9703847169876099,0.10544822365045547,0.6772334575653076,1.195164680480957
13,0.972045361995697,0.09803273528814316,0.6714697480201721,1.1995643377304077
14,0.973429262638092,0.09018540382385254,0.6599423885345459,1.2788443565368652
15,0.9745364189147949,0.08804897218942642,0.6657060384750366,1.325630784034729
16,0.976473867893219,0.07981867343187332,0.6714697480201721,1.315609097480774
17,0.976473867893219,0.07595677673816681,0.6772334575653076,1.3030074834823608
18,0.9809023141860962,0.06800577789545059,0.6743515729904175,1.3393255472183228
19,0.973429262638092,0.08381249010562897,0.6772334575653076,1.3593151569366455
20,0.9767506122589111,0.07035408169031143,0.6772334575653076,1.4157001972198486
21,0.9789648652076721,0.06871407479047775,0.6714697480201721,1.438088297843933
22,0.9781345129013062,0.06707414984703064,0.6570605039596558,1.4637181758880615
23,0.9775809645652771,0.06740226596593857,0.6657060384750366,1.4281420707702637
24,0.977027416229248,0.06367993354797363,0.6743515729904175,1.4289981126785278
